"hashtag_id","Title","country_info.id","country_info.value","Category","is_promoted","Publish_Count","Views","rank","rank_diff"
"1635659354104838","aifilter","US","United States",,false,40759,158783717,1,0
"1624197718231045","jamorant","US","United States","Sports & Outdoor",false,7752,80635156,2,13
"74353","wompwomp","US","United States",,false,16261,32919414,3,1
"268020","ladiabla","US","United States",,false,21880,26629862,4,4
"1455866","winterbreak","US","United States",,false,13144,64909165,5,5
"216901","percyjackson","US","United States","Games",false,5287,62373809,6,
"149003","70s","US","United States","News & Entertainment",false,5644,36841089,7,11
"2831498","christmasbreak","US","United States",,false,8295,46282891,8,11
"12926696","percyjacksonandtheolympians","US","United States","Games",false,3695,32772172,9,50
"7123","texting","US","United States",,false,11732,64369191,10,19
"1600910971842565","choso","US","United States","Games",false,3760,34917308,11,
"7826","geometrydash","US","United States","Games",false,2766,16814610,12,
"8513257","navia","US","United States","Games",false,2906,16245159,13,35
"521907","pjo","US","United States","Games",false,2771,29637226,14,
"114334","texts","US","United States","Games",false,6061,61700652,15,30
"6239562","memphisgrizzlies","US","United States","Sports & Outdoor",false,2023,22699162,16,52
"14147822","textingstory","US","United States","Games",false,8744,38184801,17,26
"24476","ja","US","United States",,false,2157,18224770,18,34
"19741","anitta","US","United States","News & Entertainment",false,2307,178909229,19,
"1113057","grizzlies","US","United States","Sports & Outdoor",false,1260,18729599,20,58
